integration set,n,S,F,F_S_ratio,total_cols,missing_nulls,outer_join_tuples,tdr,biconnected_components,subsumed_tuples,ALITE,BICOMNLOJ
afdr-clienteles,14,588,580,0.986394558,13,16,587,0.068965517,1,0,0.110743878,6.892827843
school_report,5,1087,1087,1,49,4609,1087,0.999080037,1,0,0.697407371,72.72395427
chicago_parks,6,1408,1403,0.996448864,32,1892,1408,0.816821098,1,0,3.447141341,49.15292885
25ksep11,13,3014,2392,0.793629728,14,4748,193106,0.061454849,1,30,1.074118664,242.6922953
stockport_contracts,11,4565,2799,0.613143483,27,5768,3540,0.229367631,1,736,1.639476075,573.0240965
1009ipopayments,7,5212,7576,1.453568688,9,1,5735,0.552534319,1,0,28.70599315,661.0783919
dcms_nhm_nhm,6,7871,7865,0.999237708,9,6129,8298,0.208391608,1,1,1.02015705,781.6755794
organogram-junior,12,9240,9052,0.97965368,27,35,9913,0.032368537,1,0,1.885155916,1962.91589
500spend,7,31417,42267,1.345354426,11,2046,157264,0.146260676,1,245,20.08710708,cutoff
amo-ame,9,46642,60046,1.287380473,10,0,52400,0,1,2368,198.9531785,cutoff
cihr,12,76312,54968,0.720306112,15,332,64080,0.304267938,1,29,6.457632818,cutoff
